id,name,first_name,birth_date,birthplace_notes,rank_id,birth_place_id
17672,Bridel-Fehr,Gustave,02.02.1872,,,62
17673,Bridel-Carrel,Gustave,1827,,,
17674,"Sprecher von Bernegg-Pestalozzi","Jakob Hektor",1861,,,
17675,Ellermann-Coninx,Heinrich,1905,,,
17676,"Stürler, von","Sophia Louise Maria",1831,,,
17677,"Stürler, von","Johann Rudolf Friedrich",1827,,,
17678,Tribolet-Hardy,"Marie Anne Françoise",1804,,,
17679,"Tribolet-Hardy, de","Thomas Frédéric",1753,,,
17680,"Stürler, von-Müller","Arthur Albert Vinzenz",1874,,,
17681,Marcuard,"Julia Sophia Helena",1844,,,
17682,Marcuard-Feer,"Karl Rudolf",1804,,,
17683,"Marcuard-von Fischer","Jakob Rudolf",1769,,,
17684,"Stürler, von-Marcuard","Eduard Rudolf Ludwig Alexander",1844,,,
17685,"Stürler, von-de Tribolet-Hardy","Johann Rudolf",1796,,,
17686,Hiltpold,Maurice,1940,,,
17687,"Schönberg, von",Anna,1834,,,
17688,Amberg,Rudolf,20.12.1879,,,
17689,Amberg,Bernhard,30.03.1843,,,
17690,Schenker,Bernhard,26.12.1866,,,
17691,Schnyder,Othmar,28.1.1849,,,
17692,Schatz-Rehsteiner,Ruedi,20.02.1925,,,
17693,Teodoridis,Viron,,,,
17694,Azizi,Ataollah,,,,
17695,Decotignie,Jean-Dominique,,,,
17696,Sphicopoulos,Thomas,,,,
17697,"Decréton",Marc,,,,
17698,Keer,Miguel,,,,
17699,Parriaux,X,,,,
17700,Parriaux,Olivier,,,,
17701,Stern,Veronica,1923,,,
17702,Burnat,Pierre,1912,,,
17703,Burnat,Claude,1910,,,
17704,Burnat,Claire,1908,,,
17705,Froloff,Vera,,,,
17706,Burnat,Olivier,1906,,,
17707,Burnat,"Irène",1905,,,
17708,Chavannes,Henry,,,,
17709,Chavannes,"Noëlle",1903,,,
17710,"Crémieux",Odette,,,,
17711,Burnat,Raymond,1901,,,
17712,Burnat,"Eugène",1869,,,
17713,"Duval Burnat",Jeanne,1877,,,
17714,Schnyder,Franziska,1966,,,
17715,Wyss,Sandra,1971,,,
17716,Widmer,Maya,1954,,,
17717,"Wegmüller",Anne,1983,,,
17718,Vollmer,Gisela,1948,,,
17719,Sancar,Hasim,1960,,,
17720,Omar,Nadia,1981,,,
17721,Linder,"Anna Magdalena",1978,,,
17722,Lehmann,Annette,1974,,,
17723,Kuster,Claudia,1969,,,
17724,"Kämpf",Sarah,1984,,,
17725,Hirt,Beni,1980,,,
17726,Gubser,Beat,1967,,,
17727,Glauser,Simon,1975,,,
17728,Gasser,Karin,1976,,,
17729,Frieden,Urs,1956,,,
17730,Duc,Myriam,1970,,,
17731,"Burger Bono",Sibylle,1964,,,
17732,Battagliero,Giovanna,1975,,,
17733,"Bahnan Büechi",Rania,1963,,,
17734,"Bader Rohner",Gabriela,1960,,,
17735,Aragon,Carolina,1972,,,
17736,Jaisli,Ueli,1956,,,
17737,Trachsel,Martin,1961,,,
17738,"Gafner Wasem",Jacqueline,1953,,,
17739,Dana,Dolores,1968,,,
17740,Imhof,Mario,1951,,,
17741,Feuz-Ramseyer,Karin,1965,,,
17742,Conzetti,Conradin,1943,,,
17743,Bartlome,Vinzenz,1956,,,
17744,Dvoracek,Martina,1973,,,
17745,"Flückiger",Andreas,1963,,,
17746,Berger,Christof,1959,,,
17747,Kiener,Markus,1962,,,
17748,Michel,Christian,1976,,,
17749,Aeberhard,Hans-Peter,1954,,,
17750,"Laué",Hans,1919,,,
17751,Hirsbrunner,Kurt,1952,,,
17752,Keller,Rudolf,1951,,,
17753,Zobrist,Beat,1955,,,
17754,Weil,Thomas,1966,,,
17755,Schwarz,Miriam,1951,,,
17756,"Schärrer-Reinhard",Sabine,1948,,,
17757,Mathieu,Corinne,1965,,,
17758,Leskow,Melanie,1981,,,
17759,Grundbacher,Susanna,1958,,,
17760,Friedli,Rudolf,1967,,,
17761,Bosshardt,Christine,1944,,,
17762,Blunschy,Isabelle,1963,,,
17763,Beyeler,Dieter,1948,,,
17764,Streit-Stettler,Barbara,1962,,,
17765,Klein-Meyer,Margareta,1939,,,
17766,Durtschi,Pascal,1970,,,
17767,Riesen-Welz,Lydia,1948,,,
17768,Feller,Othmar,1956,,,
17769,"Lüthi",Markus,1959,,,
17770,Schuler,Rolf,1963,,,
17771,Weber,Catherine,1956,,,
17772,Hofer,Ruedi,1956,,,
17773,Brunner,Annette,1975,,,
17774,Straub,Michael,1964,,,
17775,Zysset,Andreas,1953,,,
17776,"Bühler",Peter,1966,,,
17777,Ryter,Erich,1950,,,
17778,Marti,Mario,1973,,,
17779,Haudenschild,Ueli,1958,,,
17780,Beyeler-Graf,Margrith,1953,,,
17781,"Okle Zimmermann",Rosmarie,1945,,,
17782,Thomet,Margrit,1942,,,
17783,Baumann,Sven,1964,,,
17784,Jaberg,Urs,1938,,,
17785,"Stucki-Mäder",Margrit,1948,,,
17786,"Spörri",Barbara,1970,,,
17787,Schori,Beat,1950,,,
17788,"Sancar-Flückiger",Annemarie,1957,,,
17789,Rub,Heinz,1951,,,
17790,Rauch-Schumacher,Ruth,1947,,,
17791,Marti,Karl,1948,,,
17792,Linder,Peter,1964,,,
17793,Lehmann,Annemarie,1961,,,
17794,"Kälin Plézer",Ester,1954,,,
17795,"Hügli-Schaad",Stephan,1958,,,
17796,Gretler-Bonanomi,Simone,1964,,,
17797,"Flückiger",Jean-Daniel,1949,,,
17798,"Flückiger-Ehrenzeller",Heidi,1952,,,
17799,Durrer,Marie-Louise,1943,,,
17800,Anliker,Raymond,1964,,,
17801,Wittwen,"Hansjörg",1942,,,
17802,"Lörtscher",Edith,1959,,,
17803,Zeller,Susanna,1939,,,
17804,Regli,Maria,1961,,,
17805,Burri,Michael,1961,,,
17806,Stucki,Peter,1957,,,
17807,Blaser,Peter,1951,,,
17808,"Luginbühl",Lorenz,1954,,,
17809,Schaad,Walter,1948,,,
17810,Kalbermatten,Germann,1948,,,
17811,Suter,Hans-Ulrich,1936,,,
17812,Suter-Friedli,Katharina,1939,,,
17813,Fankhauser,Marcel,1944,,,
17814,Hofer,Marc,1958,,,
17815,Jordi,Michael,1959,,,
17816,"Müller",Fritz,1942,,,
17817,"Rüegsegger",Kurt,1953,,,
17818,"Müller",Christoph,1945,,,
17819,"Geissbühler",Oleana,1934,,,
17820,Burkard,Michael,1966,,,
17821,Schweizer,Rosmarie,1954,,,
17822,Aebi,Anne,1942,,,
17823,Trechsel-Kinsberger,Franca,1939,,,
17824,Krummen,Andreas,1945,,,
17825,"Siegfried Schnider",Ines,1963,,,
17826,Riesen,"Hans Peter",1944,,,
17827,Bossart,Konrad,1962,,,
17828,Balmer,Thomas,1959,,,
17829,Krebs,Walter,1945,,,
17830,Berthoud,Adrian,1939,,,
17831,Ballomoos-Keller,Eva,1953,,,
17832,"Lüscher",Liselotte,1934,,,
17833,Christen,Walter,1948,,,
17834,"Göldi Hofbauer",Margrith,1961,,,
17835,Weyermann,"Kurt W.",1939,,,
17836,Theiler,Annette,1972,,,
17837,"Spring Hunziker",Silvia,1963,,,
17838,Schaer,Christine,1957,,,
17839,Roth,Markus,1956,,,
17840,"Müller",Susanne,1958,,,
17841,"Mühlheim",Barbara,1959,,,
17842,Megert,Heinz,1942,,,
17843,"Madl Kubik",Edith,1958,,,
17844,Kalt,Henri,1923,,,
17845,"Graf Lerch",Irene,1958,,,
17846,Eyer,Marcel,1945,,,
17847,Bieri,Dora,1957,,,
17848,Appetito,Cornelia,1962,,,
17849,Balsiger,Oskar,1944,,,
17850,Rudin-Vonwil,Ursula,1947,,,
17851,"Häberli",Rolf,1936,,,
17852,Perrelet,"Jürg",1945,,,
17853,"Kilchör",Monika,1947,,,
17854,Lehmann-Kaufmann,Leslie,1943,,,
17855,Ammann,Peter,1943,,,
17856,Hofer,Theodor,1951,,,
17857,Furrer,Sylvia,1955,,,
17858,Stauffer,Margaretha,1966,,,
17859,Meyer-Eugster,Elsi,1948,,,
17860,"Dällenbach",David,1957,,,
17861,Piccolo,Marcel,1921,,,
17862,Matter,Hans,1941,,,
17863,Maillard,Anton,1962,,,
17864,Schmocker,Heidi,1958,,,
17865,"Münch",Eric,1934,,,
17866,"Möri",Peter,1942,,,
17867,"Kästli",Tobias,1946,,,
17868,Franz,Erwin,1924,,,
17869,Fischer,Regula,1959,,,
17870,Fellenberg,"Giuliana von",1934,,,
17871,Anderfuhren,Leni,1953,,,
17872,"Berger Bertschinger",Agnes,1959,,,
17873,Fazy,"Susanne Jeanne",08.02.1765,,,20
17874,Suter,Max,1951,,,
17875,Aepli,Silvia,1957,,,
17876,Hirt,Ursula,1958,,,
17877,Schweizer,Rudolph,1949,,,
17878,Lerch,Daniel,1944,,,
17879,Weibel,Urs,1960,,,
17880,Tobler,Kurt,1945,,,
17881,"Stöckli",Heinz,1933,,,
17882,Steiner,Theodor,1950,,,
17883,Seydoux,"André",1949,,,
17884,Schenkel,Isabella,1920,,,
17885,"Niederhäusern","Ulrich von",1945,,,
17886,Jordi,Alfred,1928,,,
17887,Hug,"Werner C.",1945,,,
17888,Bolli,Brigitte,1958,,,
17889,Bignasca,Alfonso,1930,,,
17890,Balz,Peter,1942,,,
17891,Balsiger-Peter,Susi,1935,,,
17892,Aebersold,Ernst,1942,,,
17893,Lehmann,Paul,1948,,,
17894,Sommer,Eduard,1927,,,
17895,"Wyler-von Ballmoos",Anna,1951,,,
17896,"Vonäsch",Ulrich,1956,,,
17897,Hofmann,Andreas,1944,,,
17898,Reist,Heidi,1940,,,
17899,Nacht,Friedrich,1936,,,
17900,Zaugg,Friedrich,1924,,,
17901,Junker,Heinz,1948,,,
17902,"Brönnimann",Fritz,1953,,,
17903,Emmenegger,Guy,1945,,,
17904,Bossert,Andreas,1944,,,
17905,Mosimann,Otto,1935,,,
17906,Ryser,Simon,1944,,,
17907,Lauterburg-Gygax,Lilo,1943,,,
17908,"Wyss-Blöchlinger",Theres,1947,,,
17909,Tschirren,Hans,1954,,,
17910,Bachmann,Elfriede,1947,,,
17911,Frick,Martin,1945,,,
17912,Bochsler,Verena,1920,,,
17913,Reck,Margrit,1958,,,
17914,"Brönnimann",Ueli,1951,,,
17915,Bigler-Geiser,Christine,1949,,,
17916,Zwahlen,Hans,1929,,,
17917,Weber,Heinz,1943,,,
17918,Lehmann,Rudolf,1941,,,
17919,"Läderach",Ueli,1940,,,
17920,Kym,Ernst,1928,,,
17921,"Käch",Kurt,1952,,,
17922,Junker,Max,1926,,,
17923,Diem,Peter,1951,,,
17924,Deriaz,Urs,1958,,,
17925,"Bürki",Susanna,1956,,,
17926,"Bürgi",Hans,1916,,,
17927,"Bühler",Peter,1940,,,
17928,Furrer,Verena,1941,,,
17929,"Küffer","Jürg",1940,,,
17930,"Luginbühl",Hans,1944,,,
17931,Schneider-Eigenmann,Hedi,1951,,,
17932,Bangerter,Greti,1932,,,
17933,"Müller",Christian,1960,,,
17934,Schill,Ernst,1947,,,
17935,Adank,Felix,1951,,,
17936,Scherz,Werner,1927,,,
17937,Debrunner,Karl,1925,,,
17938,Lauber,Fredi,1938,,,
17939,Jakob,Hans,1935,,,
17940,Walther,Klaus,1937,,,
17941,"Röthlisberger",Willy,1935,,,
17942,Gruner,Ueli,1950,,,
17943,Eichenberger,Peter,1948,,,
17944,Aeschlimann,Jakob,1932,,,
17945,Dienstchef,Franz,1949,,,
17946,Vuillemin,Markus,1934,,,
17947,Schrade-Kottelat,"Michèle",1953,,,
17948,Schneider,Doris,1946,,,
17949,Thomet,Hans-Rudolf,1942,,,
17950,Steiger,"Jürg",1948,,,
17951,Nacht,Andreas,1938,,,
17952,Moser,Max,1925,,,
17953,Moggi,Franz,1932,,,
17954,"Lüscher",Daniel,1953,,,
17955,Lehmann,Daniel,1948,,,
17956,Joss,Werner,1933,,,
17957,Jordi,Peter,1938,,,
17958,Jenni,Daniele,1949,,,
17959,Guyer-Merz,Marianne,1936,,,
17960,Gurtner,Barbara,06.09.1943,,,
17961,Giger,Theres,1944,,,
17962,Fuhrer,Hermann,1929,,,
17963,Eschmann,Raphael,1948,,,
17964,Conzetti,Helmute,1945,,,
17965,Christen,Alice,1946,,,
17966,Biffiger,Jacqueline,1946,,,
17967,Berger,Julius,1927,,,
17968,Aebi,Ulrich,1931,,,
17969,Grossen,Erwin,1937,,,
17970,"Schläfli",Werner,1945,,,
17971,Rauber,Alexander,1942,,,
17972,Baumann,Luc,1944,,,
17973,Imesch,Hans,1947,,,
17974,Gutersohn,Johannes,1935,,,
17975,Fierz,Lukas,01.05.1941,,,
17976,Gasser,Peter,1948,,,
17977,Begert,Urs,1941,,,
17978,Zloczower,Ralph,1933,,,
17979,"Chèvre",Jean-Claude,1941,,,
17980,Bernoulli,Matthis,1947,,,
17981,Ramseier,Paula,1944,,,
17982,"Füger",Bruno,1946,,,
17983,Haegeli,Miranda,1929,,,
17984,"Köhl",Marina,1934,,,
17985,Rampa,Tito,1940,,,
17986,Chevret,Paul,1941,,,
17987,"Schärer","Jürg",1942,,,
17988,Wyss,Andreas,1940,,,
17989,Sterchi,Peter,1939,,,
17990,Stauffer,Ernst,1924,,,
17991,Schneider,Beat,1946,,,
17992,Riva,Enrica,1948,,,
17993,Riedi,Victor,1938,,,
17994,Peter,Marc-Roland,1941,,,
17995,Vaucher,E.,,,,
17996,Lehner,Hannelor,1946,,,
17997,Kaiser,Bernhard,1940,,,
17998,Hug,"Käthi",1932,,,
17999,Bohren,Kathrin,1948,,,
18000,Bentz,Sebastian,1935,,,
18001,Geiler,Friedel,1908,,,
18002,"Hänni",Peter,1949,,,
18003,Gall,Walter,1926,,,
18004,Schneider,Fritz,1935,,,
18005,Kiener,Bruno,1942,,,
18006,"Flühmann",Heidi,1940,,,
18007,Hug,Dora,1916,,,
18008,Gabriel,Helene,1917,,,
18009,Zeller,Klaus,1929,,,
18010,Wehrli,Ulrich,1939,,,
18011,Anliker,Ruth,1946,,,
18012,"Bütikofer",Otto,1938,,,
18013,"Käser-Häusler",Regine,1910,,,
18014,Lischetti,Carlo,1946,,,
18015,Brugger-Blanc,Lily,1925,,,
18016,Baumann,Erwin,1930,,,
18017,Pfister,Alfred,1935,,,
18018,Weidmann,Karl,1922,,,
18019,Uehlinger,"Hansjörg",1925,,,
18020,Tschirren,Hans,1922,,,
18021,Schwarz,Paul,1927,,,
18022,Schmid-Frey,Elisabeth,1917,,,
18023,Schmid,Emil,1922,,,
18024,"Schläpfer",Silvia,1929,,,
18025,"Schaer-Lüthi",Maria,1926,,,
18026,Ruchti,Hans,1918,,,
18027,Probst,Margrit,1950,,,
18028,Munsch-Brunner,Ursula,1940,,,
18029,Mordasini,Orlando,1937,,,
18030,Ludi,Niklaus,1944,,,
18031,Locher,Ivan-Thomas,1942,,,
18032,Larsson,Dora,1942,,,
18033,"Käsermann",Rudolf,1926,,,
18034,Hohl,Markus,1937,,,
18035,Dreyfus,Jules,1907,,,
18036,Boehlen,Marie,1911,,,
18037,Biffiger,Franz,1939,,,
18038,"Bähler",Dora,1922,,,
18039,Albisetti,Marco,1938,,,
18040,Weil,Alfred,1932,,,
18041,"Kräuliger",Kurt,1922,,,
18042,Wyss,Arthur,1912,,,
18043,Grunder,Ernst,1919,,,
18044,Bangerter,Erich,1914,,,
18045,Schori,Fritz,1923,,,
18046,Tzaud,Charles,1924,,,
18047,Fahrni,Reinhold,1914,,,
18048,Jauch,Werner,1928,,,
18049,Dellsperger,Rudolf,1925,,,
18050,Gurtner,Peter,,,,
18051,Neuenschwander,Hans-Ulrich,1926,,,
18052,Briner,Roger,1926,,,
18053,Fafri,Peter,1936,,,
18054,"Zürcher",Hans,1921,,,
18055,Vonlanthen,Emil,1913,,,
18056,Theiler,Luzius,01.09.1940,,,1234
18057,Sigrist,Willy,1920,,,
18058,Rohrbach,Peter,1940,,,
18059,Raaflaub,Hans,1928,,,
18060,Pfister,Willy,1925,,,
18061,"Müller",Walter,1920,,,
18062,Moser,Werner,1918,,,
18063,"Borne, von dem","Adelheid Charlotte",19.04.1799,,,
18064,Mori,Roland,1935,,,
18065,"Mäusli",Kurt,1928,,,
18066,"Küster, von","Samuel Wilhelm Leo",18.07.1790,,,54
18067,Kellerhals,Franz,1939,,,
18068,Keller,Emil,1921,,,
18069,Iseli,Hans,1924,,,
18070,Heller,Fritz,1926,,,
18071,Gfeller,Paul,1924,,,
18072,"Flück",Ernst,1935,,,
18073,Dubler,Erwin,1924,,,
18074,Aebischer,Hanspeter,1937,,,
18075,Schmid,Peter,1928,,,
18076,Landtwing,Arnold,1922,,,
18077,Gay,J.,,,,
18078,Himmelberger,Jakob,1926,,,
18079,Balmer,Othmar,1932,,,
18080,Thalmann,Heinrich,1930,,,
18081,Eggimann,Alfred,,,,
18082,Rutsch,Willy,1911,,,
18083,Probst,Hansruedi,1926,,,
18084,Wiedemar,Hans,1910,,,
18085,Lapierre,"Adélaïne",1805,,,294
18086,"Kämpf",Viktor,1922,,,
18087,Zbinden,Fritz,1927,,,
18088,Stotzer,Paul,1917,,,
18089,Rindlisbacher,Werner,1922,,,
18090,Riedweg,Josef,1909,,,
18091,Renner,Charles,1938,,,
18092,"Küster, von",Charles,1795,,,54
18093,Mottier,Marcel,1906,,,
18094,Liniger,Walter,1919,,,
18095,Lack,Hans,1905,,,
18096,Keller,Hans,1919,,,
18097,Hirsiger,Hans,1929,,,
18098,Gerber,Anton,1932,,,
18099,Donati,Henri,1913,,,
18100,Burkhalter,Otto,1926,,,
18101,"Bürgi",Fritz,1921,,,
18102,Bloesch,Heinz,,,,
18103,Balmer,Hans-Rudolf,1899,,,
18104,Marti,Fritz,1931,,,
18105,Hess,Fritz,1913,,,
18106,Althaus,Hans,1915,,,
18107,Ammon,Walter,1909,,,
18108,"Wüthrich",Ernst,1918,,,
18109,Neuenschwander,Max,,,,
18110,Buri,Paul,1919,,,
18111,Wirz,Marc,1929,,,
18112,Gasser,Louis,1921,,,
18113,"Brändli",Herbert,1921,,,
18114,Grichting,Emil,1921,,,
18115,"Börlin",Erich,1909,,,
18116,Thoma,Albert,1899,,,
18117,Ludwig,Hans,1920,,,
18118,Herzog,Willy,1912,,,
18119,Michel,Otto,1909,,,
18120,Matthey,Georges,1909,,,
18121,Werren,Hans,1923,,,
18122,Weber,Beat,1922,,,
18123,Wartburg,"Werner von",1909,,,
18124,Tschanz,"Fritz Heinz",1919,,,
18125,Steiner,Joseph,1899,,,
18126,Steiger,Hans,1914,,,
18127,Reusser,Hermann,1922,,,
18128,Reubi,Jakob,1914,,,
18129,Neuenschwander,Hans-Rudolf,1920,,,
18130,Nef,Hans,1920,,,
18131,Mordasini,Attilio,1910,,,
18132,Michel,Ernst,1910,,,
18133,Petit,"Françoise Hélène Louise",1790,,,20
18134,Lienhard,Hansruedi,1925,,,
18135,"Läderach",Johann,1910,,,
18136,Krebs,Fritz,1917,,,
18137,Jordi,Gerhard,1906,,,
18138,"Indermühle",Peter,1910,,,
18139,Hauser,Kurt,1910,,,
18140,Maeder,Edmond,,,,
18141,Handschin,Bernhard,1920,,,
18142,Haenssler,Fred,1928,,,
18143,Grob,Richard,1912,,,
18144,Jung,"Caroline Ida",17.12.1791,,,20
18145,"Broé","Jacques Antoine",25.12.1782,,,20
18146,Darier,"Henriette Etiennette",23.09.1797,,,20
18147,"Chaponnière","Jean Jérôme François",17.07.1784,,,20
18148,Bonny,Jean-Pierre,1960,,,
18149,Bobst,Paul,1915,,,
18150,Keller,Hans,1910,,,
18151,Jan,Robert,1904,,,
18152,Locher,Paul,1905,,,
18153,Frauenlob,Otto,1911,,,
18154,Sollberger,Fritz,1899,,,
18155,Raaflaub,Werner,1893,,,
18156,Messer,Fritz,1915,,,
18157,Jordi,Hans,1901,,,
18158,"Hächler",Bruno,1920,,,
18159,Frey,Bernhard,1924,,,
18160,Burri,Walter,1911,,,
18161,Aeberhard,Robert,1910,,,
18162,Wirz,Benjmanin,1918,,,
18163,Schorer,Paul,1907,,,
18164,Ronner,"Emil Ernst",1903,,,
18165,Hengartner,Arnold,1898,,,
18166,Ronca,Marc,1941,,,21
18167,Hug,Alfred,,,,
18168,Lehmann,Gerhard,1921,,,
18169,"Vögeli",Hermann,1899,,,
18170,Bannwart,Ernst,1901,,,
18171,Simon-Krauser,Fritz,1896,,,
18172,Schenk,Hermann,1893,,,
18173,Huber,Casimir,01.02.1915,,,
18174,"Grütter",Alfred,06.06.1907,,,
18175,Gafner,Ernst,1897,,,
18176,Zimmermann,Friedrich,1898,,,
18177,"Trösch",Max,1907,,,
18178,Jauch,Adolf,,,,
18179,Gullotti,Nino,1903,,,
18180,Vuille,C.,,,,
18181,Bertallo,Emilien,1884,,,
18182,Haupt,Paul,1889,,,
18183,Schenk,Hans,1905,,,
18184,Studer,Hugo,1896,,,
18185,Berger,Werner,1896,,,
18186,Chevalier,Alfred,1880,,,
18187,Wieland,Ernst,,,,
18188,Roux,Otto,1889,,,
18189,Zbinden,Karl,,,,
18190,Wetli,Fritz,1885,,,
18191,"Wälti",Emil,1899,,,
18192,Sterchi,Hermann,1881,,,
18193,Mattler,August,1885,,,
18194,Kohler,Willy,1900,,,
18195,Gygax,Gottfried,1886,,,
18196,"Bürgi",Alfred,1896,,,
18197,Steffen,Max,1893,,,
18198,Widmer,Albert,1893,,,
18199,Friedli,Oskar,1892,,,
18200,Weiss,Ernst,1901,,,
18201,Bitterlin,Otto,1897,,,
18202,Stoppani,Alphonse,1888,,,
18203,Marti,Paul,1890,,,
18204,Lutz,Ernst,1887,,,
18205,Kehrli,"Jakob Otto",1892,,,
18206,Anliker,Paul,1888,,,
18207,Zaugg,Alfred,1898,,,
18208,Weiss,Otto,1888,,,
18209,Peter,Otto,1887,,,
18210,"Bütikofer",Ernst,08.09.1889,,,
18211,Marti,Hans,1888,,,
18212,Zimmermann,Fritz,,,,
18213,Schwab,Oskar,1884,,,
18214,Wenger,Albert,1877,,,
18215,"Mäder",Fritz,1878,,,
18216,Kuhn,Robert,1895,,,
18217,Favre,Fernand,1893,,,
18218,"Brönnimann",Wilhelm,1894,,,
18219,Zeller,Moritz,1896,,,
18220,Hauswirth,Gottfried,1873,,,
18221,"Wäber",Paul,1874,,,
18222,Minnig,Fritz,1894,,,
18223,Guggenheim,Camille,1894,,,
18224,Fellenberg,"Rudolf von",1874,,,
18225,Hurni,Albert,1876,,,
18226,Berger,Walter,1886,,,
18227,Vogel,Hans,1883,,,
18228,Utiger,Christian,1886,,,
18229,Schneider,Ernst,1873,,,
18230,Meyerhofer,"Heinrich Eduard",1885,,,
18231,Mosimann,Hugo,1881,,,
18232,"Bürgi",Hermann,1881,,,
18233,Witz,Otto,1884,,,
18234,Scheidegger,Fritz,1882,,,
18235,Kropf,Friedrich,1865,,,
18236,"Indermühle",Karl,1877,,,
18237,Horrisberger,Gottfried,1868,,,
18238,Dudan,Jules,1886,,,
18239,Degen,Max,1884,,,
18240,Bornand,Charles,1864,,,
18241,Weber,F,,,,
18242,Ernst,Walter,1871,,,
18243,Wey,August,1871,,,
18244,Erb,August,1862,,,
18245,"Läuffer",Oskar,05.12.1881,,,
18246,"Hügi",Hermann,1882,,,
18247,Kasser,Ernst,1863,,,
18248,"Lüthi",Fritz,1873,,,
18249,Studer,Bernhard,1877,,,
18250,"Trösch",Jakob,1872,,,
18251,Schneeberger,Arthur,1881,,,
18252,Gossweiler,Johann,1860,,,
18253,"Bäschlin",Hans,1873,,,
18254,Schumacher,Friedrich,1874,,,
18255,Meer,Rudolf,1882,,,
18256,"Böschenstein",Konrad,1872,,,
18257,Lehmann,Walter,1886,,,
18258,Joos,Eduard,,,,
18259,Brunner,Karl,1873,,,
18260,Rollier,Ariste,1880,,,
18261,"Künzi","Karl Friedrich",31.03.1872,,,
18262,Wettstein,Otto,1876,,,
18263,"Flückiger",Eugen,1859,,,
18264,"Münch",Eugen,1880,,,
18265,Lang,Arnold,1875,,,
18266,Fischer,"Karl David  Friedrich von",1865,,,
18267,"Bürgi",August,1867,,,
18268,Armbruster,Ernst,1869,,,
18269,Pfister,Emil,1873,,,
18270,Wetli,Paul,1874,,,
18271,Hauswirth,Alfred,1872,,,
18272,Witz,Karl,1855,,,
18273,Jahn,Karl,1853,,,
18274,"Hürzeler",Friedrich,1860,,,
18275,Peytrignet,Marc-Louis,1867,,,
18276,Althaus,Arnold,1860,,,
18277,"Bühler",Arnold,1863,,,
18278,"Bühler-Flückiger",Michael,05.10.1853,,,
18279,Pochon-Demme,Adolf,1869,,,
18280,Wanner,Alexander,1857,,,
18281,Geiger-Marbach,Karl,1873,,,
18282,Ost,Wilhelm,1853,,,
18283,Niederhauser,Emil,1875,,,
18284,Liechti,Johann,1855,,,
18285,Hausamann,Fritz,1867,,,
18286,Gunten,"Karl von",1858,,,
18287,Lanz,Wilhelm,1860,,,
18288,Zehnder,Jakob,1862,,,
18289,Lauterburg,Wilhelm,1844,,,
18290,Traffelet,Fritz,1862,,,
18291,Ryser,Albert,1861,,,
18292,"Büeler",Fritz,1859,,,
18293,Thomet,Fritz,1859,,,
18294,Lindt,Hermann,1872,,,
18295,Moser,"Franz Wilhelm",1862,,,
18296,Badertscher,Friedrich,1850,,,
18297,"Wälti",Hans,1870,,,
18298,Wyder,Niklaus,1854,,,
18299,Nobs,Fritz,1858,,,
18300,Krentel,Albert,1856,,,
18301,Aebischer,Max,1902,,,
18302,"Stürler","Ludwig von",1852,,,
18303,"Müller",Karl,1855,,,
18304,"Mäder",Gottlieb,1865,,,
18305,"Rüfenacht",Hermann,1867,,,
18306,"Stettler-von Fischer",Rudolf,1844,,,
18307,Walther-Bucher,Friedrich,1862,,,
18308,Ruprecht,Eduard,1864,,,
18309,Schindler,Albert,1862,,,
18310,"Böhme",Friedrich,1870,,,
18311,Badertscher,Adolf,1861,,,
18312,Kraft,Rudolf,1874,,,
18313,Jent,"Hermann Ludwig",1850,,,
18314,Gerber,Franz,1861,,,
18315,Garnier,Paul,1847,,,
18316,Rohr,Karl,1863,,,
18317,Hostettler,Johann,1836,,,
18318,Heller,Henry,1855,,,
18319,"Trüssel",Hermann,1864,,,
18320,"Marcuard-von Wurstem- berger",Alphons,1847,,,
18321,Zimmermann,Fritz,1838,,,
18322,Zimmermann,Friedrich,1865,,,
18323,Rollard,Pierre-F.,,,,
18324,Wyttenbach,Albert,1868,,,
18325,Spreng,Jakob,1863,,,
18326,Mann,"Carl Heinrich",1839,,,
18327,"Kästli",Fritz,1868,,,
18328,Kaiser,Karl,,,,
18329,Wehn,Heinrich,1861,,,
18330,Wittwer,Friedrich,1850,,,
18331,Wyler,Friedrich,1873,,,
18332,Schlumpf,Jacques,1865,,,
18333,"Müller",David,1851,,,
18334,"Lässer",Johann,1848,,,
18335,"Küenzi",Eduard,1859,,,
18336,Bratschi-Probst,"J. Robert",1846,,,
18337,Baumgartner,Emil,1865,,,
18338,Steiger-Zoller,Rudolf,1848,,,
18339,"Münger",Rudolf,1826,,,
18340,Mumprecht,Joseph,1834,,,
18341,Moor,Karl,1852,,,
18342,"Hänni","Karl Alfred",1868,,,
18343,Egenter,Joseph,1858,,,
18344,"Bähler",Rudolf,1851,,,
18345,"Z'graggen",Karl,1861,,,
18346,"Tscharner-de Lessert","Albert von",1849,,,
18347,Surbeck,Viktor,1853,,,
18348,"Lüscher",Albert,1839,,,
18349,Lindt,Paul,1896,,,
18350,Blom,Oskar,1854,,,
18351,Brunschwyler,Johann,1838,,,
18352,Sessler,Arnold,1850,,,
18353,Aebi,Ernst,1856,,,
18354,Emch,Hans,1853,,,
18355,Streiff,Fritz,1860,,,
18356,"Lüscher",Ernst,1863,,,
18357,Kissling,Emil,1853,,,
18358,Reber,Robert,1850,,,
18359,Manz,Heinrich,1845,,,
18360,Lang,Albert,1849,,,
